Population,Poverty Count,fips,date,county,state,cases,deaths,Lat,Lng,Infection Rate,Poverty Rate
47086.0,15496.0,28151,7/29/2020,Washington,Mississippi,1322,26,31.5787773,-91.2992784,2.81,32.91
12028.0,2231.0,28111,7/29/2020,Perry,Mississippi,196,7,31.1673115,-89.0179332,1.63,18.55
8321.0,1888.0,28019,7/29/2020,Choctaw,Mississippi,117,4,33.3914427,-89.28472509999999,1.41,22.69
23480.0,3428.0,28057,7/29/2020,Itawamba,Mississippi,275,9,34.231788200000004,-88.4016041,1.17,14.6
10129.0,1477.0,28015,7/29/2020,Carroll,Mississippi,236,11,33.5279848,-89.9253233,2.33,14.58
21278.0,5090.0,28043,7/29/2020,Grenada,Mississippi,781,19,33.7690049,-89.8084192,3.67,23.92
7346.0,3418.0,28063,7/29/2020,Jefferson,Mississippi,178,5,31.715781699999997,-90.9820668,2.42,46.53
13714.0,1475.0,28041,7/29/2020,Greene,Mississippi,211,10,31.1646163,-88.71089640000001,1.54,10.76
35787.0,6148.0,28093,7/29/2020,Marshall,Mississippi,500,5,34.772949100000005,-89.4742177,1.4,17.18
7372.0,2549.0,28119,7/29/2020,Quitman,Mississippi,195,1,32.0401499,-88.7281,2.65,34.58
32592.0,10723.0,28011,7/29/2020,Bolivar,Mississippi,860,26,33.88299620000001,-90.8294002,2.64,32.9
61223.0,10049.0,28073,7/29/2020,Lamar,Mississippi,1011,11,34.9173149,-89.3178505,1.65,16.41
84915.0,13280.0,28081,7/29/2020,Lee,Mississippi,1069,28,34.235413799999996,-88.71089640000001,1.26,15.64
39737.0,13040.0,28113,7/29/2020,Pike,Mississippi,781,30,31.1704959,-90.37483540000001,1.97,32.82
14361.0,3357.0,28135,7/29/2020,Tallahatchie,Mississippi,371,9,33.9302578,-90.18696440000001,2.58,23.38
16063.0,2697.0,28129,7/29/2020,Smith,Mississippi,361,12,32.0826588,-89.4742177,2.25,16.79
18375.0,3019.0,28131,7/29/2020,Stone,Mississippi,134,3,30.801306899999997,-89.1705998,0.73,16.43
47075.0,9594.0,28149,7/29/2020,Warren,Mississippi,897,24,32.3989469,-90.79132270000001,1.91,20.38
15928.0,3039.0,28023,7/29/2020,Clarke,Mississippi,284,25,32.077218,-88.71089640000001,1.78,19.08
10107.0,2760.0,28069,7/29/2020,Kemper,Mississippi,218,15,32.8018452,-88.71089640000001,2.16,27.31
10198.0,2748.0,28097,7/29/2020,Montgomery,Mississippi,258,3,33.527442699999995,-89.62516459999999,2.53,26.95
49481.0,13304.0,28105,7/29/2020,Oktibbeha,Mississippi,1011,31,33.3886689,-88.90306,2.04,26.89
55149.0,8633.0,28109,7/29/2020,Pearl River,Mississippi,452,35,30.3928842,-89.67342559999999,0.82,15.65
22870.0,5731.0,28079,7/29/2020,Leake,Mississippi,738,25,32.807350899999996,-89.4742177,3.23,25.06
