date,county,state,fips,cases,deaths,Lat,Lng
7/29/2020,Autauga,Alabama,1001,987,21,32.5791817,-86.4996546
7/29/2020,Baldwin,Alabama,1003,2908,21,30.6010744,-87.7763333
7/29/2020,Barbour,Alabama,1005,584,4,31.8172896,-85.354965
7/29/2020,Bibb,Alabama,1007,344,2,32.9562798,-87.1422895
7/29/2020,Blount,Alabama,1009,694,3,34.0145152,-86.4996546
7/29/2020,Bullock,Alabama,1011,432,12,32.0573536,-85.7256372
7/29/2020,Butler,Alabama,1013,742,36,32.0895908,-88.2219652
7/29/2020,Calhoun,Alabama,1015,1292,6,33.7701576,-85.80766
7/29/2020,Chambers,Alabama,1017,844,38,32.9028048,-85.354965
7/29/2020,Cherokee,Alabama,1019,227,8,34.7570342,-87.9728143
7/29/2020,Chilton,Alabama,1021,671,6,32.944392,-86.6611083
7/29/2020,Choctaw,Alabama,1023,269,12,32.0716631,-88.2461183
7/29/2020,Clarke,Alabama,1025,470,9,31.7002461,-87.7763333
7/29/2020,Clay,Alabama,1027,185,4,33.7026013,-86.5997096
7/29/2020,Cleburne,Alabama,1029,109,1,33.6261707,-85.520024
7/29/2020,Coffee,Alabama,1031,686,5,31.4751172,-86.0121573
7/29/2020,Colbert,Alabama,1033,965,11,34.7117567,-87.8942451
7/29/2020,Conecuh,Alabama,1035,361,10,31.501571,-86.9824288
7/29/2020,Coosa,Alabama,1037,93,2,32.8897772,-86.2196937
7/29/2020,Covington,Alabama,1039,740,21,31.3066438,-86.4996546
7/29/2020,Crenshaw,Alabama,1041,272,4,31.6671872,-86.3376761
7/29/2020,Cullman,Alabama,1043,1066,10,34.1748208,-86.8436124
7/29/2020,Dale,Alabama,1045,741,17,31.4645298,-85.684578
7/29/2020,Dallas,Alabama,1047,1295,22,32.2332138,-87.1422895
7/29/2020,DeKalb,Alabama,1049,1565,11,34.5211397,-85.684578
7/29/2020,Elmore,Alabama,1051,1546,35,32.5387448,-86.3149712
7/29/2020,Escambia,Alabama,1053,935,14,31.1394734,-87.1422895
7/29/2020,Etowah,Alabama,1055,1791,19,34.0455341,-86.0529604
7/29/2020,Fayette,Alabama,1057,163,5,33.6845539,-87.8308522
7/29/2020,Franklin,Alabama,1059,1129,20,32.4784706,-85.8024562
7/29/2020,Geneva,Alabama,1061,204,1,31.0329572,-85.8638242
7/29/2020,Greene,Alabama,1063,239,11,32.9718107,-87.9334803
7/29/2020,Hale,Alabama,1065,440,25,32.7859102,-87.6186379
7/29/2020,Henry,Alabama,1067,238,4,31.4469377,-85.1894045
7/29/2020,Houston,Alabama,1069,1217,14,34.1414925,-87.2580686
7/29/2020,Jackson,Alabama,1071,700,5,31.5090521,-87.8944435
7/29/2020,Jefferson,Alabama,1073,10847,210,33.4914122,-86.9824288
